Greedy Brute Force,,,,,,
Valid?, Score, RAM (MB), Time (ms), #Individuals, ,
true,61,0.0,0.1025,76, ,
true,55,0.0,0.1592,77, ,
true,57,0.0,0.0984,77, ,
true,56,0.0,0.1839,77, ,
true,53,0.0,0.1425,77, ,
true,54,0.0,0.1081,78, ,
true,56,0.0,0.0659,78, ,
true,49,0.0,0.1301,78, ,
true,45,0.0,0.0955,78, ,
true,55,0.0,0.0691,79, ,
true,50,0.0,0.1813,79, ,
true,60,0.0,0.0886,79, ,
true,48,0.0,0.1175,79, ,
true,56,2.611944,0.1521,80, ,
true,49,0.0,0.1128,80, ,
true,58,0.0,0.1472,80, ,
true,49,0.0,0.1023,80, ,
true,48,0.0,0.0978,81, ,
true,48,2.612736,0.177,81, ,
true,49,2.612536,0.1814,81, ,
true,56,0.0,0.0988,81, ,
true,54,2.612904,0.153,82, ,
true,51,2.612792,0.1625,82, ,
true,50,2.612144,0.1541,82, ,
true,62,0.0,0.1407,82, ,
true,44,0.0,0.122,83, ,
true,57,0.0,0.0943,83, ,
true,49,0.0,0.0764,83, ,
true,62,0.0,0.1423,83, ,
true,56,0.0,0.1563,84, ,
true,47,0.0,0.0884,84, ,
true,50,0.0,0.0845,84, ,
true,59,0.0,0.1573,84, ,
false,-1,0.0,0.138,85, ,
true,45,0.0,0.0934,85, ,
true,62,0.0,0.1033,85, ,
true,54,0.0,0.1174,85, ,
true,59,2.61344,0.2824,86, ,
true,54,2.613408,0.1584,86, ,
true,60,0.0,0.225,86, ,
true,55,2.612888,0.193,86, ,
true,36,2.612736,0.142,87, ,
true,58,0.0,0.0988,87, ,
true,55,2.6142,0.1297,87, ,
true,49,0.0,0.1291,87, ,
true,52,0.0,0.0973,88, ,
true,54,0.0,0.059,88, ,
true,54,0.0,0.0631,88, ,
true,57,0.0,0.1158,88, ,
true,51,2.613712,0.1397,89, ,
true,48,0.0,0.1082,89, ,
true,60,0.0,0.1063,89, ,
true,56,2.613712,0.1524,89, ,
true,55,0.0,0.1473,90, ,
true,47,0.0,0.0753,90, ,
true,46,2.613656,0.1762,90, ,
