Greedy Brute Force,,,,,,
Valid?, Score, RAM (MB), Time (ms), #Sessions, ,
false,-1,0.0,0.1629,85, ,
false,-1,0.0,0.057,86, ,
false,-1,0.0,0.0915,86, ,
false,-1,0.0,0.0738,86, ,
false,-1,0.0,0.1,86, ,
false,-1,0.0,0.1067,87, ,
false,-1,0.0,0.1218,87, ,
false,-1,0.0,0.1407,87, ,
false,-1,0.0,0.0947,87, ,
false,-1,0.0,0.1095,88, ,
false,-1,0.0,0.144,88, ,
false,-1,2.593408,0.1913,88, ,
false,-1,0.0,0.1335,88, ,
false,-1,0.0,0.072,89, ,
false,-1,0.0,0.2239,89, ,
false,-1,0.0,0.1495,89, ,
false,-1,0.0,0.1128,89, ,
false,-1,0.0,0.1083,90, ,
false,-1,0.0,0.0832,90, ,
false,-1,0.0,0.0577,90, ,
false,-1,0.0,0.142,90, ,
false,-1,0.0,0.142,91, ,
false,-1,0.0,0.0786,91, ,
false,-1,0.0,0.0814,91, ,
false,-1,0.0,0.1254,91, ,
false,-1,0.0,0.0974,92, ,
false,-1,0.0,0.0685,92, ,
false,-1,0.0,0.1137,92, ,
false,-1,0.0,0.0879,92, ,
false,-1,0.0,0.0895,93, ,
false,-1,0.0,0.1513,93, ,
false,-1,0.0,0.1028,93, ,
false,-1,0.0,0.0943,93, ,
false,-1,0.0,0.0871,94, ,
false,-1,0.0,0.0832,94, ,
false,-1,0.0,0.1656,94, ,
false,-1,0.0,0.1201,94, ,
false,-1,0.0,0.1421,95, ,
false,-1,0.0,0.1573,95, ,
false,-1,0.0,0.1708,95, ,
false,-1,0.0,0.1793,95, ,
false,-1,0.0,0.1272,96, ,
false,-1,0.0,0.1306,96, ,
false,-1,0.0,0.1486,96, ,
false,-1,0.0,0.1148,96, ,
false,-1,0.0,0.2779,97, ,
false,-1,0.0,0.0757,97, ,
false,-1,0.0,0.0942,97, ,
false,-1,0.0,0.0962,97, ,
false,-1,0.0,0.0925,98, ,
false,-1,0.0,0.1072,98, ,
false,-1,0.0,0.0931,98, ,
false,-1,2.595728,0.3018,98, ,
false,-1,0.0,0.0672,99, ,
false,-1,0.0,0.0545,99, ,
false,-1,0.0,0.0852,99, ,
false,-1,0.0,0.0692,99, ,
false,-1,0.0,0.073,100, ,
false,-1,0.0,0.1012,100, ,
false,-1,0.0,0.0714,100, ,
false,-1,0.0,0.1257,100, ,
false,-1,0.0,0.0925,101, ,
false,-1,0.0,0.1419,101, ,
false,-1,0.0,0.1214,101, ,
false,-1,0.0,0.09,101, ,
false,-1,0.0,0.1084,102, ,
false,-1,0.0,0.1096,102, ,
false,-1,0.0,0.057,102, ,
false,-1,0.0,0.1035,102, ,
false,-1,0.0,0.087,103, ,
false,-1,0.0,0.1036,103, ,
false,-1,0.0,0.1285,103, ,
false,-1,0.0,0.0568,103, ,
false,-1,0.0,0.1243,104, ,
false,-1,0.0,0.0743,104, ,
false,-1,0.0,0.1224,104, ,
false,-1,0.0,0.0578,104, ,
false,-1,0.0,0.0882,105, ,
false,-1,0.0,0.077,105, ,
false,-1,0.0,0.1047,105, ,
false,-1,0.0,0.0829,105, ,
false,-1,0.0,0.1111,106, ,
false,-1,0.0,0.0765,106, ,
false,-1,0.0,0.0602,106, ,
false,-1,0.0,0.1315,106, ,
false,-1,0.0,0.0841,107, ,
false,-1,0.0,0.0795,107, ,
false,-1,0.0,0.0836,107, ,
false,-1,0.0,0.1376,107, ,
false,-1,0.0,0.0892,108, ,
false,-1,0.0,0.0888,108, ,
false,-1,0.0,0.0406,108, ,
false,-1,0.0,0.0541,108, ,
false,-1,0.0,0.0948,109, ,
false,-1,0.0,0.0365,109, ,
false,-1,0.0,0.0862,109, ,
false,-1,0.0,0.0785,109, ,
false,-1,0.0,0.0865,110, ,
false,-1,0.0,0.1052,110, ,
false,-1,0.0,0.0897,110, ,
false,-1,0.0,0.0738,110, ,
false,-1,0.0,0.0612,111, ,
false,-1,0.0,0.1338,111, ,
false,-1,0.0,0.0914,111, ,
false,-1,0.0,0.1267,111, ,
false,-1,0.0,0.0813,112, ,
