Greedy Brute Force,,,,,,
Valid?, Score, RAM (MB), Time (ms), #Sessions, ,
false,-1,0.0,0.2682,82, ,
false,-1,0.0,0.1305,82, ,
false,-1,0.0,0.209,83, ,
false,-1,2.593712,0.3573,83, ,
false,-1,0.0,0.1321,83, ,
false,-1,2.593488,0.1442,83, ,
false,-1,2.593296,0.1841,84, ,
false,-1,2.593688,0.1454,84, ,
false,-1,0.0,0.1153,84, ,
false,-1,2.59372,0.1542,84, ,
false,-1,0.0,0.1041,85, ,
false,-1,0.0,0.1399,85, ,
false,-1,0.0,0.1289,85, ,
false,-1,2.594208,0.1513,85, ,
false,-1,2.593312,0.2057,86, ,
false,-1,0.0,0.1066,86, ,
false,-1,2.593944,0.5031,86, ,
false,-1,0.0,0.1504,86, ,
false,-1,0.0,0.1537,87, ,
false,-1,2.59456,0.2639,87, ,
false,-1,0.0,0.1112,87, ,
false,-1,2.594472,0.1919,87, ,
false,-1,0.0,0.1548,88, ,
false,-1,0.0,0.1367,88, ,
false,-1,0.0,0.1444,88, ,
false,-1,0.0,0.1418,88, ,
false,-1,0.0,0.157,89, ,
false,-1,0.0,0.1377,89, ,
false,-1,2.657728,0.1839,89, ,
false,-1,0.0,0.188,89, ,
false,-1,2.594776,0.1789,90, ,
false,-1,0.0,0.1248,90, ,
false,-1,0.0,0.1153,90, ,
false,-1,0.0,0.1204,90, ,
false,-1,2.6578,0.3277,91, ,
false,-1,0.0,0.1021,91, ,
false,-1,2.594952,0.1306,91, ,
false,-1,0.0,0.1097,91, ,
false,-1,0.0,0.083,92, ,
false,-1,0.0,0.1087,92, ,
false,-1,0.0,0.0928,92, ,
false,-1,0.0,0.1547,92, ,
false,-1,0.0,0.0756,93, ,
false,-1,0.0,0.0952,93, ,
false,-1,0.0,0.1297,93, ,
false,-1,0.0,0.1333,93, ,
false,-1,0.0,0.1445,94, ,
false,-1,0.0,0.1016,94, ,
false,-1,0.0,0.1338,94, ,
false,-1,0.0,0.0975,94, ,
false,-1,2.595696,0.2131,95, ,
false,-1,0.0,0.1865,95, ,
false,-1,0.0,0.1542,95, ,
false,-1,0.0,0.1058,95, ,
false,-1,0.0,0.0981,96, ,
false,-1,0.0,0.0869,96, ,
false,-1,0.0,0.1287,96, ,
false,-1,0.0,0.1414,96, ,
false,-1,0.0,0.1494,97, ,
false,-1,0.0,0.1275,97, ,
false,-1,2.596512,0.1434,97, ,
false,-1,0.0,0.0897,97, ,
false,-1,0.0,0.2365,98, ,
false,-1,2.59636,0.1465,98, ,
false,-1,2.59616,0.1828,98, ,
false,-1,2.596232,0.1805,98, ,
false,-1,0.0,0.1135,99, ,
false,-1,2.59644,0.1607,99, ,
false,-1,0.0,0.1095,99, ,
false,-1,0.0,0.0702,99, ,
false,-1,0.0,0.1066,100, ,
false,-1,0.0,0.0636,100, ,
false,-1,0.0,0.0789,100, ,
false,-1,0.0,0.0638,100, ,
false,-1,0.0,0.1166,101, ,
false,-1,0.0,0.1926,101, ,
false,-1,0.0,0.0951,101, ,
false,-1,0.0,0.0608,101, ,
false,-1,0.0,0.1028,102, ,
false,-1,0.0,0.0764,102, ,
false,-1,2.597376,0.1454,102, ,
false,-1,0.0,0.0983,102, ,
false,-1,0.0,0.123,103, ,
false,-1,0.0,0.081,103, ,
false,-1,0.0,0.1045,103, ,
false,-1,0.0,0.0948,103, ,
false,-1,0.0,0.1042,104, ,
false,-1,0.0,0.0954,104, ,
false,-1,0.0,0.1264,104, ,
false,-1,0.0,0.1353,104, ,
false,-1,0.0,0.1281,105, ,
false,-1,0.0,0.0801,105, ,
false,-1,2.598016,0.1809,105, ,
false,-1,0.0,0.0596,105, ,
false,-1,0.0,0.06,106, ,
false,-1,0.0,0.0931,106, ,
false,-1,0.0,0.1305,106, ,
false,-1,0.0,0.0841,106, ,
false,-1,0.0,0.1033,107, ,
false,-1,0.0,0.0855,107, ,
false,-1,0.0,0.1212,107, ,
false,-1,0.0,0.0836,107, ,
false,-1,0.0,0.161,108, ,
false,-1,0.0,0.1202,108, ,
false,-1,0.0,0.0742,108, ,
false,-1,0.0,0.0996,108, ,
false,-1,0.0,0.1095,109, ,
false,-1,0.0,0.1244,109, ,
false,-1,0.0,0.1117,109, ,
false,-1,0.0,0.0685,109, ,
false,-1,0.0,0.127,110, ,
false,-1,0.0,0.0985,110, ,
false,-1,0.0,0.1095,110, ,
false,-1,0.0,0.0933,110, ,
false,-1,0.0,0.1167,111, ,
false,-1,0.0,0.1444,111, ,
false,-1,0.0,0.2205,111, ,
false,-1,0.0,0.2099,111, ,
false,-1,0.0,0.195,112, ,
false,-1,0.0,0.1104,112, ,
false,-1,0.0,0.1081,112, ,
false,-1,0.0,0.0832,112, ,
false,-1,0.0,0.0934,113, ,
false,-1,0.0,0.0934,113, ,
false,-1,0.0,0.0943,113, ,
false,-1,0.0,0.1099,113, ,
false,-1,0.0,0.0962,114, ,
false,-1,0.0,0.0925,114, ,
false,-1,0.0,0.1046,114, ,
false,-1,0.0,0.1082,114, ,
false,-1,0.0,0.1042,115, ,
false,-1,0.0,0.1285,115, ,
false,-1,0.0,0.0996,115, ,
false,-1,0.0,0.0726,115, ,
false,-1,0.0,0.1321,116, ,
false,-1,0.0,0.1161,116, ,
false,-1,0.0,0.1093,116, ,
false,-1,0.0,0.1014,116, ,
false,-1,0.0,0.1305,117, ,
false,-1,0.0,0.0848,117, ,
false,-1,0.0,0.1282,117, ,
false,-1,0.0,0.1115,117, ,
false,-1,0.0,0.072,118, ,
false,-1,0.0,0.1181,118, ,
false,-1,0.0,0.1768,118, ,
false,-1,0.0,0.1111,118, ,
false,-1,0.0,0.1669,119, ,
false,-1,0.0,0.096,119, ,
false,-1,0.0,0.1083,119, ,
false,-1,0.0,0.1026,119, ,
false,-1,0.0,0.0839,120, ,
false,-1,0.0,0.084,120, ,
false,-1,0.0,0.1104,120, ,
false,-1,0.0,0.1177,120, ,
false,-1,0.0,0.1206,121, ,
false,-1,0.0,0.1087,121, ,
false,-1,0.0,0.0952,121, ,
false,-1,0.0,0.0664,121, ,
false,-1,0.0,0.0729,122, ,
false,-1,0.0,0.0813,122, ,
false,-1,0.0,0.0772,122, ,
false,-1,0.0,0.102,122, ,
false,-1,2.66388,0.2002,123, ,
false,-1,0.0,0.1137,123, ,
false,-1,0.0,0.0936,123, ,
