,Brute Force,,,,,
 #Individuals,Valid?, Score, RAM (MB), Time (ms),, 
417,TRUE,62,23.728032,501.489,, 
418,TRUE,37,27.98696,576.1277,, 
419,TRUE,36,28.036456,546.5388,, 
420,TRUE,62,27.070936,604.9563,, 
421,TRUE,60,24.87568,461.9556,, 
422,TRUE,37,22.785088,430.1646,, 
423,TRUE,39,26.881376,616.0063,, 
424,TRUE,60,24.689632,533.3615,, 
425,TRUE,60,26.485824,665.5058,, 
426,TRUE,60,25.808456,583.6067,, 
427,TRUE,36,24.682144,528.5635,, 
428,TRUE,37,25.230336,603.6428,, 
429,TRUE,37,27.777552,729.4836,, 
430,TRUE,57,25.379352,582.6088,, 
431,TRUE,38,26.017184,670.9421,, 
432,TRUE,61,24.108408,539.1267,, 
433,TRUE,63,26.340168,517.2068,, 
434,TRUE,37,26.395936,606.2473,, 
435,TRUE,63,26.388616,658.8281,, 
436,TRUE,36,25.7638,579.8136,, 
437,TRUE,38,27.668952,635.1761,, 
438,TRUE,61,27.591952,712.0971,, 
439,TRUE,33,26.342072,591.9516,, 
440,TRUE,37,26.878968,597.8554,, 
441,TRUE,36,26.362856,637.4273,, 
442,TRUE,59,28.561896,750.5796,, 
443,TRUE,38,26.7422,691.2127,, 
444,TRUE,62,27.410568,741.2986,, 
445,TRUE,59,27.218304,636.592,, 
446,TRUE,60,28.141736,643.153,, 
447,TRUE,36,28.037136,675.38,, 
448,TRUE,60,26.347136,613.9547,, 
449,TRUE,37,27.832136,658.126,, 
450,TRUE,58,28.336224,656.028,, 
451,TRUE,60,26.372096,607.7162,, 
452,TRUE,59,24.632568,433.2142,, 
453,TRUE,40,26.433208,691.5648,, 
454,TRUE,38,25.336064,646.0084,, 
455,TRUE,61,25.316248,621.1725,, 
456,TRUE,35,27.226912,650.3027,, 
457,TRUE,60,23.816024,660.8713,, 
458,TRUE,37,26.49988,696.3516,, 
459,TRUE,36,22.88304,565.5558,, 
460,TRUE,60,26.709888,749.8933,, 
461,TRUE,59,26.40804,648.8876,, 
462,TRUE,60,39.326504,562.4133,, 
463,TRUE,35,28.995048,586.119,, 
464,TRUE,36,25.066376,557.1041,, 
