,CSP Algorithm,,,,,,,,Times (ms),,,
 #Individuals,Valid?, Score, Score, RAM (MB), RAM (MB), Time (ms), Time (ms), , Start, Modelled, Solved, Decoded
85,FALSE,37,-1,41.465056,46.123728,2334.924801,90.8081, ,95393.4044,95483.129,95484.1645,95484.1931
86,TRUE,63,63,46.524208,50.419216,2812.2564,2112.2473, ,95494.623,95569.2949,97606.6538,97606.8433
87,FALSE,36,-1,40.663568,33.275976,2048.5465,62.6327, ,97615.7422,97677.6563,97678.3341,97678.3542
88,TRUE,-1,36,52.731496,41.676416,64.0898,1847.5877, ,97685.7798,97746.6968,99533.2212,99533.341
89,TRUE,63,62,39.866,52.568904,2364.6638,2545.4977, ,99541.9372,99613.3588,102087.2703,102087.3942
90,FALSE,36,-1,50.24596,34.449416,2126.902301,60.0537, ,102095.5103,102154.4978,102155.5236,102155.5528
91,TRUE,62,63,40.51088,40.89948,1974.5053,1702.1706, ,102162.6913,102225.3556,103864.6743,103864.8335
92,TRUE,34,60,56.60968,43.016888,3184.6677,2075.7738, ,103873.4838,103934.8891,105949.012,105949.2165
93,FALSE,-1,-1,34.785368,35.879712,71.8564,68.2696, ,105957.9341,106025.3763,106026.1626,106026.1843
94,FALSE,60,-1,42.928568,34.279712,2354.059099,65.4703, ,106034.1931,106098.7961,106099.6222,106099.6444
95,TRUE,39,63,46.016008,59.059736,2535.0887,2443.3782, ,106107.4277,106184.8387,108550.6412,108550.768
96,TRUE,-1,40,34.046152,46.18848,70.262099,2502.7309, ,108560.0091,108640.1856,111062.576,111062.7024
97,TRUE,-1,37,35.868576,40.413848,71.6566,2113.404, ,111071.5843,111118.8529,113184.7019,113184.8457
98,FALSE,-1,-1,43.271728,37.665552,76.511799,76.3001, ,113194.249,113269.7592,113270.518,113270.5344
99,FALSE,38,-1,58.934712,37.820168,2438.6737,85.9591, ,113279.0976,113364.196,113365.0191,113365.0389
100,FALSE,-1,-1,35.718808,37.431328,61.0831,83.5166, ,113373.5572,113455.0015,113457.0007,113457.0524
101,FALSE,35,-1,47.661848,34.488168,2449.956399,97.7314, ,113468.2898,113565.1254,113565.9744,113565.9913
102,TRUE,62,38,46.691728,106.609504,1965.2856,1773.1861, ,113574.0194,113642.9908,115346.9527,115347.1336
103,FALSE,38,-1,46.36892,36.596408,2303.6972,65.7215, ,115357.283,115422.1682,115422.964,115422.9847
,,,,,,,,,,,,
,,,,,,,,,,65.757471,1078.365482,0.370699
,,,,,,,,,,,,
,,,,,,,,,,,,
,The DEFAULT parameters of the random test data: Days:50  Hours:8  Rooms:50  Sessions:50  Individuals:100 (Ignore for the specified parameter).,,,,,,,,,,,
