Greedy Brute Force, , , , ,Brute Force, , , , ,Brute Force (Greedy Optimised), , , , ,CSP Algorithm, , , , ,CSP (Randomised Optimisation), ,
Valid?, Score, RAM, Time (ms), ,Valid?, Score, RAM, Time (ms), ,Valid?, Score, RAM, Time (ms), ,Valid?, Score, RAM, Time (ms), ,Valid?, Score, RAM, Time (ms), ,
true,61,0,0.1209, ,true,61,0,0.0922, ,true,61,0,0.1564, ,true,61,0,0.0873, ,true,61,0,0.0914, ,
true,58,0,0.1066, ,true,58,0,0.0938, ,true,58,0,0.0806, ,true,58,0,0.078, ,true,58,0,0.0684, ,
true,50,0,0.0748, ,true,50,0,0.0798, ,true,50,0,0.0758, ,true,50,0,0.1903, ,true,50,0,0.0845, ,
true,51,0,0.0784, ,true,51,0,0.0732, ,true,51,0,0.0718, ,true,51,0,0.0781, ,true,51,0,0.0788, ,
true,48,0,0.0883, ,true,48,0,0.1535, ,true,48,0,0.0838, ,true,48,0,0.0842, ,true,48,0,0.0796, ,
true,57,0,0.0809, ,true,57,0,0.0709, ,true,57,0,0.0691, ,true,57,0,0.0751, ,true,57,0,0.0756, ,
true,53,0,0.0837, ,true,53,0,0.0806, ,true,53,0,0.1262, ,true,53,0,0.0736, ,true,53,0,0.0661, ,
true,52,0,0.1033, ,true,52,0,0.0895, ,true,52,0,0.073, ,true,52,0,0.0737, ,true,52,0,0.0736, ,
true,42,0,0.0757, ,true,42,0,0.0697, ,true,42,0,0.0678, ,true,42,0,0.0685, ,true,42,0,0.0713, ,
true,61,0,0.0846, ,true,61,0,0.0781, ,true,61,0,0.1181, ,true,61,0,0.0735, ,true,61,0,0.0721, ,
true,55,0,0.0964, ,true,55,0,0.0864, ,true,55,0,0.0822, ,true,55,0,0.0849, ,true,55,0,0.0799, ,
true,57,0,0.1, ,true,57,0,0.0833, ,true,57,0,0.2025, ,true,57,0,0.1388, ,true,57,0,0.0744, ,
true,51,0,0.1028, ,true,51,0,0.0825, ,true,51,0,0.0771, ,true,51,0,0.0687, ,true,51,0,0.0741, ,
true,47,0,0.0883, ,true,47,0,0.082, ,true,47,0,0.0911, ,true,47,0,0.077, ,true,47,0,0.1489, ,
true,60,0,0.0849, ,true,60,0,0.0767, ,true,60,0,0.0794, ,true,60,0,0.0827, ,true,60,0,0.0753, ,
true,63,0,0.0809, ,true,63,0,0.0832, ,true,63,0,0.0805, ,true,63,0,0.0763, ,true,63,0,0.1039, ,
true,49,0,0.2661, ,true,49,0,0.0542, ,true,49,0,0.0959, ,true,49,0,0.0811, ,true,49,0,0.2137, ,
true,50,0,0.0919, ,true,50,0,0.0961, ,true,50,0,0.093, ,true,50,0,0.0851, ,true,50,0,0.0981, ,
true,61,0,0.0989, ,true,61,0,0.1053, ,true,61,0,0.0879, ,true,61,0,0.1044, ,true,61,0,0.0883, ,
true,37,0,0.1644, ,true,37,0,0.07, ,true,37,0,0.0839, ,true,37,0,0.0787, ,true,37,0,0.2209, ,
true,37,0,0.1, ,true,37,0,0.0989, ,true,37,0,0.0774, ,true,37,0,0.0904, ,true,37,0,0.0468, ,
true,57,0,0.0931, ,true,57,0,0.1063, ,true,57,0,0.1085, ,true,57,0,0.1, ,true,57,0,0.1006, ,
true,50,0,0.1475, ,true,50,0,0.0969, ,true,50,0,0.0887, ,true,50,0,0.0763, ,true,50,0,0.096, ,
true,51,0,0.1024, ,true,51,0,0.1279, ,true,51,0,0.0863, ,true,51,0,0.1014, ,true,51,0,0.089, ,
true,60,0,0.1063, ,true,60,0,0.1005, ,true,60,0,0.1029, ,true,60,0,0.1704, ,true,60,0,0.0933, ,
