,Brute Force,,,,,
 #Sessions,Valid?, Score, RAM (MB), Time (ms),, 
331,TRUE,38,92.497608,211.1362,, 
332,TRUE,41,63.658696,195.6276,, 
333,TRUE,56,67.183704,213.6775,, 
334,TRUE,70,62.9894,186.6577,, 
335,TRUE,44,63.333576,169.2869,, 
336,TRUE,59,63.986376,188.3551,, 
337,TRUE,46,62.186184,190.7473,, 
338,TRUE,38,62.186184,196.5169,, 
339,TRUE,36,63.093728,172.4167,, 
340,TRUE,48,64.71188,201.8639,, 
341,TRUE,50,67.656392,222.9375,, 
342,TRUE,66,66.978104,200.4455,, 
343,TRUE,57,68.03516,195.9162,, 
344,TRUE,40,69.526216,215.5646,, 
345,TRUE,47,63.235784,197.6073,, 
346,TRUE,52,66.479304,186.3044,, 
347,TRUE,59,65.23452,230.7657,, 
348,TRUE,39,64.156224,172.2413,, 
349,TRUE,43,78.620248,211.001,, 
350,TRUE,66,75.820232,187.1788,, 
351,TRUE,59,90.57852,211.8376,, 
352,TRUE,64,72.77076,237.7256,, 
353,TRUE,59,74.672328,195.8954,, 
354,TRUE,39,67.296344,203.8851,, 
355,TRUE,59,70.870664,241.5808,, 
356,TRUE,37,69.959576,215.9531,, 
357,TRUE,64,66.436128,183.6792,, 
358,TRUE,31,69.757088,209.3735,, 
359,TRUE,68,69.38744,230.0757,, 
360,TRUE,69,69.304536,197.8326,, 
361,TRUE,62,72.178424,204.7962,, 
362,TRUE,60,68.148936,166.9691,, 
363,TRUE,37,81.863768,189.3683,, 
364,TRUE,38,95.21684,204.4342,, 
365,TRUE,42,83.337816,205.9348,, 
366,TRUE,46,73.622216,228.6039,, 
367,TRUE,71,66.374344,217.0296,, 
368,TRUE,65,69.181128,237.5734,, 
369,TRUE,39,71.59528,187.6316,, 
370,TRUE,56,73.377432,199.0967,, 
371,TRUE,39,71.503744,206.5456,, 
372,TRUE,46,73.544952,205.3802,, 
373,TRUE,41,73.352112,269.3376,, 
374,TRUE,68,69.149776,221.7536,, 
375,TRUE,60,75.117392,241.2691,, 
376,TRUE,62,74.322016,209.97,, 
377,TRUE,67,74.95144,234.9321,, 
378,TRUE,43,70.151552,173.0813,, 
379,TRUE,44,92.74712,190.5774,, 
380,TRUE,60,85.778816,238.8173,, 
381,TRUE,63,73.997584,207.6208,, 
382,TRUE,69,75.394432,233.4476,, 
