Greedy Brute Force,,,,,,
Valid?, Score, RAM (MB), Time (ms), #Individuals, ,
true,54,0.0,0.3249,85, ,
true,62,0.0,0.1072,85, ,
true,51,0.0,0.1296,85, ,
true,52,0.0,0.1174,85, ,
true,46,0.0,0.1809,86, ,
true,44,0.0,0.1909,86, ,
true,47,0.0,0.1001,86, ,
true,40,0.0,0.1105,86, ,
true,46,0.0,0.0884,87, ,
true,57,2.687064,0.1845,87, ,
true,59,0.0,0.1398,87, ,
true,53,2.686648,0.2105,87, ,
true,49,2.686624,0.3311,88, ,
false,-1,0.0,0.146,88, ,
true,57,0.0,0.0926,88, ,
true,61,2.686608,0.2619,88, ,
true,50,0.0,0.0977,89, ,
true,60,0.0,0.1286,89, ,
true,45,0.0,0.1733,89, ,
true,49,0.0,0.1279,89, ,
true,44,0.0,0.0648,90, ,
true,49,0.0,0.0883,90, ,
true,48,0.0,0.1232,90, ,
true,50,0.0,0.0972,90, ,
true,41,0.0,0.0628,91, ,
true,45,2.687688,0.148,91, ,
true,67,0.0,0.149,91, ,
true,40,0.0,0.1069,91, ,
true,60,2.687192,0.1686,92, ,
true,58,0.0,0.1364,92, ,
true,52,0.0,0.1343,92, ,
true,51,0.0,0.1161,92, ,
true,50,0.0,0.1393,93, ,
true,54,2.68696,0.1601,93, ,
true,59,0.0,0.1533,93, ,
true,51,2.687768,0.191,93, ,
true,59,0.0,0.1191,94, ,
true,55,2.68836,0.2229,94, ,
true,48,0.0,0.1132,94, ,
true,49,0.0,0.2919,94, ,
true,51,0.0,0.0769,95, ,
true,51,0.0,0.2661,95, ,
true,44,2.688464,0.1497,95, ,
true,55,2.68824,0.2515,95, ,
true,50,0.0,0.1014,96, ,
true,45,0.0,0.1391,96, ,
true,49,0.0,0.1319,96, ,
true,56,2.68844,0.1596,96, ,
true,59,0.0,0.1875,97, ,
true,57,0.0,0.1379,97, ,
true,58,2.752264,0.2725,97, ,
true,55,0.0,0.1289,97, ,
true,45,2.689496,0.1434,98, ,
true,45,0.0,0.081,98, ,
true,54,2.690112,0.1671,98, ,
true,60,0.0,0.1103,98, ,
true,48,2.689472,0.2055,99, ,
true,53,2.689136,0.1852,99, ,
true,56,0.0,0.1136,99, ,
true,62,2.689336,0.175,99, ,
true,44,2.6892,0.1808,100, ,
true,45,2.689304,0.2707,100, ,
true,40,2.68952,0.1881,100, ,
true,57,2.689824,0.3391,100, ,
true,46,2.68968,0.2518,101, ,
true,59,0.0,0.1207,101, ,
true,49,0.0,0.0852,101, ,
true,44,0.0,0.0947,101, ,
true,55,0.0,0.1101,102, ,
true,56,0.0,0.1072,102, ,
true,61,2.690104,0.2083,102, ,
true,54,0.0,0.1082,102, ,
true,58,0.0,0.0712,103, ,
true,55,0.0,0.112,103, ,
true,59,2.69008,0.1946,103, ,
true,51,2.68976,0.1339,103, ,
true,56,0.0,0.0768,104, ,
true,47,0.0,0.118,104, ,
true,47,2.690544,0.21,104, ,
true,50,0.0,0.0903,104, ,
