,Greedy Brute Force,,,,,
 #Individuals,Valid?, Score, RAM (MB), Time (ms),, 
192,TRUE,35,5.493264,383.4413,, 
193,TRUE,49,5.316144,356.3082,, 
194,TRUE,23,4.911856,305.9362,, 
195,TRUE,22,5.242216,264.3659,, 
196,TRUE,25,5.20208,267.7075,, 
197,TRUE,49,5.389784,319.5244,, 
198,TRUE,46,5.25612,294.2076,, 
199,TRUE,50,5.89388,341.4278,, 
200,TRUE,25,5.078848,636.7331,, 
201,TRUE,24,5.822408,364.3556,, 
202,TRUE,22,5.244032,440.7837,, 
203,TRUE,62,5.910064,309.9621,, 
204,TRUE,22,5.906952,310.2797,, 
205,TRUE,26,5.019808,251.1318,, 
206,TRUE,26,5.91196,436.0443,, 
207,TRUE,25,5.688144,338.203,, 
208,TRUE,25,5.843224,292.2903,, 
209,TRUE,47,5.791216,363.898,, 
210,TRUE,37,5.7234,322.7684,, 
211,TRUE,22,5.57092,343.4564,, 
212,TRUE,61,5.785968,277.3534,, 
213,TRUE,48,5.4892,290.4133,, 
214,TRUE,47,5.320448,275.3813,, 
215,TRUE,36,5.658896,331.6473,, 
216,TRUE,51,5.895336,508.5326,, 
217,TRUE,46,5.707696,430.2934,, 
218,TRUE,51,6.96548,595.8763,, 
219,TRUE,23,5.66092,394.2278,, 
220,TRUE,47,5.724768,344.1353,, 
221,TRUE,45,5.803144,341.1396,, 
222,TRUE,24,6.704704,403.5019,, 
223,TRUE,35,6.236728,324.4321,, 
224,TRUE,22,5.920504,386.1091,, 
225,TRUE,24,6.155968,342.9124,, 
226,TRUE,24,6.439768,383.9757,, 
227,TRUE,48,6.968472,387.9727,, 
228,TRUE,61,6.615408,382.5785,, 
229,TRUE,46,6.231872,483.866,, 
230,TRUE,23,5.997496,354.7466,, 
231,TRUE,37,6.135904,380.2488,, 
232,TRUE,22,6.683128,355.6644,, 
233,TRUE,22,5.878072,372.8913,, 
234,TRUE,49,6.968952,458.1468,, 
235,TRUE,61,6.801848,481.5055,, 
236,TRUE,47,7.26948,478.5713,, 
237,TRUE,37,6.305448,334.0475,, 
238,TRUE,23,6.389736,364.8881,, 
239,TRUE,47,7.430576,384.1443,, 
240,TRUE,48,6.383928,430.4213,, 
241,TRUE,23,6.287488,429.4801,, 
242,TRUE,21,6.639056,303.8284,, 
243,TRUE,45,7.432808,498.448,, 
244,TRUE,47,6.386336,385.3914,, 
245,TRUE,45,6.924536,455.4707,, 
246,TRUE,36,6.122592,376.6792,, 
247,TRUE,26,6.92052,493.4067,, 
248,TRUE,22,5.727392,396.6715,, 
249,TRUE,46,8.021776,511.225,, 
250,TRUE,45,6.716264,337.9837,, 
251,TRUE,48,6.714648,344.3592,, 
252,TRUE,21,6.979376,385.4831,, 
253,TRUE,45,6.631528,324.5444,, 
254,TRUE,21,7.177824,474.3697,, 
255,TRUE,47,6.781064,390.4696,, 
256,TRUE,24,6.506368,368.3273,, 
257,TRUE,50,7.07504,477.8009,, 
258,TRUE,48,7.164832,488.5586,, 
259,TRUE,45,7.697152,521.8742,, 
260,TRUE,26,7.170504,461.639,, 
261,TRUE,59,7.43592,462.8832,, 
262,TRUE,26,8.03224,564.8146,, 
263,TRUE,26,7.17924,424.3634,, 
264,TRUE,38,7.077504,385.8375,, 
265,TRUE,24,7.436232,378.7019,, 
266,TRUE,25,8.030592,423.6372,, 
267,TRUE,36,7.656088,321.014,, 
268,TRUE,24,6.415048,349.4591,, 
269,TRUE,24,6.683928,422.2467,, 
270,TRUE,36,7.271024,455.7784,, 
271,TRUE,26,7.544328,449.357,, 
272,TRUE,47,8.0354,539.0117,, 
273,TRUE,37,7.184088,401.276,, 
274,TRUE,20,8.038032,469.0812,, 
275,TRUE,21,8.036536,406.8003,, 
276,TRUE,62,8.036208,572.5645,, 
277,TRUE,23,6.651912,346.0478,, 
278,TRUE,23,7.389256,501.6549,, 
279,TRUE,25,7.573944,464.5379,, 
280,TRUE,37,8.039176,513.4062,, 
281,TRUE,36,7.491272,403.9331,, 
282,TRUE,48,8.038288,483.4033,, 
283,TRUE,26,7.696312,451.1724,, 
284,TRUE,26,8.039816,709.9531,, 
285,TRUE,22,8.0404,505.3529,, 
286,TRUE,45,8.040416,513.1271,, 
287,TRUE,23,8.04392,560.7314,, 
288,TRUE,46,8.043168,612.1323,, 
289,TRUE,22,8.03928,573.3412,, 
