Greedy Brute Force,,,,,,
Valid?, Score, RAM (MB), Time (ms), #Individuals, ,
true,47,2.61888,0.1409,64, ,
true,46,0.0,0.0959,64, ,
true,53,0.0,0.0958,64, ,
true,57,0.0,0.1325,64, ,
true,56,0.0,0.1271,65, ,
true,61,0.0,0.1111,65, ,
true,48,0.0,0.199,65, ,
true,47,2.618984,0.2089,65, ,
true,46,0.0,0.0936,66, ,
true,46,0.0,0.1043,66, ,
true,63,0.0,0.1091,66, ,
true,53,0.0,0.1493,66, ,
true,47,0.0,0.1262,67, ,
true,57,0.0,0.1132,67, ,
true,52,0.0,0.1559,67, ,
true,52,0.0,0.1341,67, ,
true,37,0.0,0.1013,68, ,
true,47,0.0,0.147,68, ,
true,47,0.0,0.0765,68, ,
true,54,0.0,0.1131,68, ,
true,52,0.0,0.1193,69, ,
true,57,0.0,0.0979,69, ,
true,54,0.0,0.088,69, ,
true,59,0.0,0.1094,69, ,
true,55,2.619824,0.1702,70, ,
true,60,0.0,0.11,70, ,
true,52,0.0,0.1422,70, ,
true,53,2.619736,0.4239,70, ,
true,49,0.0,0.0931,71, ,
true,47,2.620056,0.1539,71, ,
true,44,0.0,0.0541,71, ,
true,51,2.620216,0.3221,71, ,
true,46,0.0,0.078,72, ,
true,56,0.0,0.1128,72, ,
true,47,0.0,0.1049,72, ,
true,46,0.0,0.1666,72, ,
true,55,0.0,0.0954,73, ,
true,53,0.0,0.0659,73, ,
true,38,0.0,0.0667,73, ,
true,57,0.0,0.0496,73, ,
true,49,0.0,0.1104,74, ,
true,48,0.0,0.0916,74, ,
true,47,0.0,0.0978,74, ,
true,41,0.0,0.0946,74, ,
true,49,0.0,0.0826,75, ,
true,47,0.0,0.143,75, ,
true,55,0.0,0.1209,75, ,
true,67,0.0,0.2093,75, ,
true,56,0.0,0.1031,76, ,
true,58,0.0,0.08,76, ,
true,40,0.0,0.1007,76, ,
true,54,0.0,0.1629,76, ,
true,52,0.0,0.0997,77, ,
true,54,0.0,0.2453,77, ,
true,51,0.0,0.0893,77, ,
true,33,0.0,0.1129,77, ,
true,54,0.0,0.1472,78, ,
true,50,0.0,0.09,78, ,
true,41,0.0,0.1169,78, ,
true,50,0.0,0.0712,78, ,
true,59,0.0,0.1426,79, ,
true,48,0.0,0.0722,79, ,
true,50,0.0,0.1351,79, ,
true,56,0.0,0.1025,79, ,
true,58,0.0,0.2662,80, ,
true,62,2.68528,0.1594,80, ,
true,46,0.0,0.0982,80, ,
true,60,2.684672,0.165,80, ,
true,56,0.0,0.1116,81, ,
true,50,0.0,0.0911,81, ,
true,54,0.0,0.0972,81, ,
true,58,0.0,0.0973,81, ,
true,50,0.0,0.1075,82, ,
true,42,0.0,0.0933,82, ,
true,55,0.0,0.0615,82, ,
true,55,0.0,0.0791,82, ,
true,39,0.0,0.1042,83, ,
true,54,2.685328,0.1808,83, ,
false,-1,2.621752,0.2016,83, ,
false,-1,0.0,0.1408,83, ,
false,-1,0.0,0.1151,84, ,
true,53,2.618784,0.1785,84, ,
true,57,0.0,0.1216,84, ,
true,58,0.0,0.1317,84, ,
true,64,2.685848,0.1831,85, ,
true,38,2.684544,0.5083,85, ,
true,55,0.0,0.1103,85, ,
true,65,2.685224,0.221,85, ,
true,56,0.0,0.1612,86, ,
true,47,0.0,0.1269,86, ,
true,46,0.0,0.0587,86, ,
true,48,0.0,0.2699,86, ,
true,56,0.0,0.114,87, ,
true,65,2.68588,0.227,87, ,
true,41,0.0,0.1373,87, ,
true,50,2.62256,0.1452,87, ,
