,Greedy Brute Force,,,,,
 #Sessions,Valid?, Score, RAM (MB), Time (ms),, 
242,TRUE,52,3.579008,40.0297,, 
243,TRUE,26,3.579024,79.0105,, 
244,TRUE,49,3.642392,60.7224,, 
245,TRUE,46,3.5796,58.5621,, 
246,TRUE,38,3.579872,74.9223,, 
247,TRUE,27,3.578808,60.6303,, 
248,TRUE,49,3.580864,60.0045,, 
249,TRUE,26,3.579328,83.0201,, 
250,TRUE,44,3.579312,44.2506,, 
251,TRUE,27,3.579168,50.8042,, 
252,TRUE,21,3.578752,71.4293,, 
253,TRUE,47,3.579584,77.618,, 
254,TRUE,44,3.579648,99.1609,, 
255,TRUE,22,3.580288,76.4878,, 
256,TRUE,46,3.643464,77.7027,, 
257,TRUE,46,3.64376,66.0709,, 
258,TRUE,62,3.580384,83.2583,, 
259,TRUE,43,3.64424,97.162,, 
260,TRUE,50,3.64388,106.7461,, 
261,TRUE,47,3.644128,53.8597,, 
262,TRUE,25,3.58124,70.3081,, 
263,TRUE,48,3.581016,88.6987,, 
264,TRUE,47,3.644568,62.8607,, 
265,TRUE,23,3.645312,56.5122,, 
266,TRUE,48,3.64508,83.4991,, 
267,TRUE,45,3.644744,53.6964,, 
268,TRUE,39,3.645104,71.6376,, 
269,TRUE,26,3.645544,92.2208,, 
270,TRUE,24,3.644768,45.5514,, 
271,TRUE,45,3.646016,60.7565,, 
272,TRUE,26,3.64624,77.0466,, 
273,TRUE,57,3.64572,70.8127,, 
274,TRUE,26,3.646616,79.543,, 
275,TRUE,45,3.64636,79.3339,, 
276,TRUE,47,3.646992,89.3859,, 
277,TRUE,25,3.647288,80.6896,, 
278,TRUE,23,3.646928,92.8287,, 
279,TRUE,48,3.647144,53.0549,, 
280,TRUE,48,3.647544,68.9887,, 
281,TRUE,24,3.64748,107.7219,, 
282,TRUE,44,3.648016,84.252,, 
283,TRUE,22,3.648192,75.1521,, 
284,TRUE,46,3.648176,117.0311,, 
285,TRUE,61,3.648248,126.604,, 
286,TRUE,38,3.648648,121.5617,, 
287,TRUE,48,3.64896,136.9103,, 
288,TRUE,34,3.648888,121.3458,, 
289,TRUE,46,3.648416,120.4868,, 
290,TRUE,24,3.64896,123.7912,, 
291,TRUE,45,3.64928,94.1799,, 
292,TRUE,40,3.65008,107.8236,, 
293,TRUE,28,3.649448,73.0082,, 
294,TRUE,26,3.64892,99.1158,, 
295,TRUE,49,3.649568,71.3769,, 
296,TRUE,46,3.6504,104.8475,, 
297,TRUE,24,3.650104,90.7805,, 
298,TRUE,39,3.650264,93.8321,, 
299,TRUE,46,3.65056,79.2668,, 
300,TRUE,51,3.650584,84.1609,, 
301,TRUE,63,3.651264,90.6732,, 
302,TRUE,48,3.65092,128.0534,, 
303,TRUE,50,3.651128,90.3442,, 
304,TRUE,38,3.651456,69.6369,, 
305,TRUE,47,3.651552,80.8832,, 
306,TRUE,42,3.651656,87.0559,, 
307,TRUE,27,3.651944,101.1516,, 
308,TRUE,42,3.65348,75.1413,, 
309,TRUE,21,3.651704,114.6078,, 
310,TRUE,47,3.652344,124.0906,, 
311,TRUE,26,3.65496,115.5079,, 
312,TRUE,62,3.654744,97.2683,, 
313,TRUE,51,3.652896,93.4848,, 
314,TRUE,49,3.652992,118.4757,, 
315,TRUE,27,3.6534,87.2835,, 
316,TRUE,26,3.654952,129.3934,, 
317,TRUE,25,3.653264,86.911,, 
318,TRUE,37,3.653616,110.7148,, 
319,TRUE,25,3.65596,98.965,, 
320,TRUE,63,3.654256,96.1026,, 
321,TRUE,49,3.65572,113.7709,, 
322,TRUE,44,3.654688,98.2256,, 
323,TRUE,45,3.655168,144.266,, 
324,TRUE,48,3.655184,128.4055,, 
325,TRUE,24,3.718472,90.7487,, 
326,TRUE,24,3.65712,85.4691,, 
327,TRUE,23,3.718488,135.4981,, 
328,TRUE,40,3.655824,88.0198,, 
329,TRUE,48,3.718792,106.8573,, 
330,TRUE,27,3.656424,96.2931,, 
331,TRUE,51,3.655936,89.6297,, 
332,TRUE,60,3.719384,112.3789,, 
333,TRUE,24,3.6568,94.4061,, 
334,TRUE,23,3.719224,114.7534,, 
335,TRUE,47,3.658872,102.4827,, 
336,TRUE,62,3.656896,94.2656,, 
337,TRUE,51,3.720448,133.5447,, 
338,TRUE,49,3.720424,105.2068,, 
339,TRUE,62,3.720296,98.5508,, 
340,TRUE,59,3.657688,88.4517,, 
341,TRUE,24,3.720736,108.5657,, 
342,TRUE,26,3.721312,108.121,, 
343,TRUE,40,3.721504,107.6289,, 
344,TRUE,27,3.65856,96.5727,, 
345,TRUE,25,3.721432,98.798,, 
346,TRUE,44,3.721728,134.7444,, 
347,TRUE,44,3.722168,98.1576,, 
348,TRUE,38,3.721792,138.2721,, 
349,TRUE,59,3.722672,124.3496,, 
350,TRUE,26,3.722624,99.8226,, 
351,TRUE,46,3.722344,92.0148,, 
352,TRUE,61,3.72276,102.7647,, 
353,TRUE,26,3.722808,113.2164,, 
354,TRUE,26,3.723672,119.0169,, 
355,TRUE,27,3.722976,96.2223,, 
356,TRUE,50,3.723072,103.4932,, 
357,TRUE,26,3.72312,134.8356,, 
358,TRUE,20,3.724096,90.0478,, 
359,TRUE,28,3.723992,95.9636,, 
360,TRUE,60,3.724344,94.3703,, 
361,TRUE,45,3.725856,111.1139,, 
362,TRUE,24,3.724696,76.5421,, 
363,TRUE,63,3.724616,129.0292,, 
364,TRUE,47,3.724576,100.2876,, 
365,TRUE,23,3.72516,109.3244,, 
366,TRUE,61,3.724432,93.4381,, 
367,TRUE,49,3.724984,101.6589,, 
368,TRUE,48,3.725624,135.2533,, 
369,TRUE,48,3.726576,99.3411,, 
370,TRUE,40,3.789064,116.8526,, 
371,TRUE,24,3.726928,98.2528,, 
372,TRUE,22,3.726664,129.7516,, 
373,TRUE,45,3.727264,87.2293,, 
374,TRUE,60,3.72732,111.9582,, 
375,TRUE,26,3.727544,118.7722,, 
376,TRUE,47,3.727488,106.5134,, 
377,TRUE,45,3.727904,123.6157,, 
378,TRUE,46,3.72776,114.6217,, 
379,TRUE,59,3.728328,127.2259,, 
380,TRUE,24,3.72864,99.9231,, 
381,TRUE,47,3.728928,107.5561,, 
382,TRUE,40,3.73076,133.8865,, 
383,TRUE,41,3.728696,100.7978,, 
384,TRUE,23,3.728736,123.6811,, 
385,TRUE,38,3.732672,105.058,, 
386,TRUE,44,3.72952,90.4996,, 
387,TRUE,60,3.73112,106.1378,, 
388,TRUE,49,3.72944,108.7401,, 
389,TRUE,25,3.729168,123.8196,, 
390,TRUE,48,3.79288,96.9761,, 
391,TRUE,41,3.792888,92.2493,, 
