Brute Force (Greedy Optimised),,,,,,
Valid?, Score, RAM (MB), Time (ms), #Individuals, ,
true,66,4.573712,5.0161,75, ,
true,64,7.360392,12.4786,75, ,
true,66,4.725392,8.5969,76, ,
true,71,5.652992,8.1237,76, ,
true,62,6.498232,9.3202,76, ,
true,61,7.28836,11.3024,76, ,
true,63,6.243544,12.6291,77, ,
true,52,5.003816,6.6237,77, ,
true,59,7.52876,19.2601,77, ,
true,53,7.65016,18.7103,77, ,
true,68,6.346024,9.8005,78, ,
true,64,6.155416,9.0712,78, ,
true,53,7.751504,25.0188,78, ,
true,68,6.647296,8.6889,78, ,
true,59,7.125488,10.1746,79, ,
true,56,6.541672,11.3495,79, ,
true,63,4.167112,5.4677,79, ,
true,56,6.457424,9.5786,79, ,
true,57,7.778328,17.2016,80, ,
true,57,3.331064,2.7179,80, ,
true,71,6.081384,11.153,80, ,
true,66,5.49216,8.3006,80, ,
true,66,5.587736,8.5932,81, ,
true,54,5.022744,7.3695,81, ,
true,56,6.59876,14.3145,81, ,
true,66,4.534712,7.5795,81, ,
true,53,5.20428,7.6023,82, ,
true,68,5.277256,7.1924,82, ,
true,64,5.634984,8.9851,82, ,
true,63,5.205264,6.7096,82, ,
true,58,7.191672,11.4905,83, ,
true,51,7.651344,22.2002,83, ,
true,64,4.155656,6.0058,83, ,
true,55,5.299072,8.9472,83, ,
true,51,6.6186,11.8632,84, ,
true,56,7.600184,13.991,84, ,
true,59,7.7794,15.2816,84, ,
true,66,4.915816,7.5669,84, ,
true,69,5.536264,9.347,85, ,
true,64,5.331728,9.3322,85, ,
true,53,5.78136,10.2538,85, ,
true,53,5.361816,14.0077,85, ,
true,70,5.643048,8.5755,86, ,
true,59,7.394776,12.5156,86, ,
true,61,6.348176,13.753,86, ,
true,66,6.436024,12.2688,86, ,
true,62,7.49092,15.1481,87, ,
false,-1,5.113712,7.8077,87, ,
true,64,5.275248,7.5156,87, ,
true,64,5.271032,7.4448,87, ,
true,60,4.221424,4.8253,88, ,
true,59,5.17928,6.7855,88, ,
true,70,7.71056,14.4064,88, ,
true,63,6.244824,18.1258,88, ,
true,68,4.911968,6.1892,89, ,
true,56,6.29248,9.9496,89, ,
true,63,7.089384,12.5646,89, ,
true,67,5.526368,7.9777,89, ,
true,53,4.232568,4.2769,90, ,
true,68,5.86888,16.9956,90, ,
true,61,7.7812,16.6169,90, ,
true,57,5.578376,12.374,90, ,
true,58,5.781464,8.6061,91, ,
true,56,6.914216,19.2836,91, ,
true,66,4.72676,7.6978,91, ,
true,61,6.096544,10.1721,91, ,
true,59,4.974368,5.5147,92, ,
true,57,6.345928,9.8384,92, ,
true,65,7.768216,13.6587,92, ,
true,67,5.777408,9.0404,92, ,
true,66,4.550368,5.7041,93, ,
true,67,6.473304,11.8022,93, ,
true,59,7.366752,16.3015,93, ,
true,68,4.821696,10.2718,93, ,
true,61,4.538456,6.8025,94, ,
true,63,5.240792,11.3958,94, ,
true,68,5.948992,17.1205,94, ,
true,58,7.167048,13.0373,94, ,
true,71,5.253232,10.0807,95, ,
true,59,6.474936,16.3812,95, ,
true,60,6.32324,18.5872,95, ,
true,57,6.237008,10.7771,95, ,
false,-1,4.502432,6.5187,96, ,
true,57,7.778224,19.0821,96, ,
true,66,5.213856,8.0295,96, ,
true,54,6.828168,25.5356,96, ,
true,54,6.678376,14.071,97, ,
true,56,5.48244,8.2385,97, ,
true,68,5.014464,7.4892,97, ,
true,57,6.133088,12.5591,97, ,
true,54,6.129272,11.6218,98, ,
true,68,5.168912,8.832,98, ,
true,66,4.028728,4.6944,98, ,
true,66,5.340712,7.9758,98, ,
true,55,4.815432,6.7467,99, ,
true,55,6.606336,12.7113,99, ,
true,61,4.997248,6.6227,99, ,
true,66,6.466328,12.1328,99, ,
true,66,6.680616,13.1324,100, ,
true,64,6.2542,12.5123,100, ,
true,59,7.01516,19.6668,100, ,
true,66,5.459736,9.681,100, ,
true,64,4.731336,6.7097,101, ,
true,59,7.588248,18.7959,101, ,
true,65,7.184384,14.0484,101, ,
true,55,6.231496,12.8097,101, ,
true,55,6.503416,16.7057,102, ,
true,64,5.01032,7.0925,102, ,
true,67,6.733856,14.0136,102, ,
true,54,7.20116,15.2601,102, ,
true,69,6.24344,11.5288,103, ,
true,56,5.006824,7.9653,103, ,
true,68,5.774472,11.6635,103, ,
true,54,6.733592,14.5857,103, ,


The DEFAULT parameters of the random test data: Days:5  Hours:8  Rooms:5  Sessions:12  Individuals:25 (Ignore for the specified parameter).
