Brute Force,,,,,,
Valid?, Score, RAM (MB), Time (ms), #Individuals, ,
true,64,2.65668,0.2578,64, ,
true,54,2.657,0.1723,65, ,
true,63,2.65712,0.1936,65, ,
true,57,2.656888,0.213,65, ,
true,65,2.657336,0.1504,65, ,
true,62,2.65644,0.2181,66, ,
true,55,2.656552,0.2329,66, ,
true,46,0.0,0.1063,66, ,
true,53,0.0,0.1355,66, ,
true,57,2.657512,0.2576,67, ,
true,55,2.65728,0.1869,67, ,
true,53,0.0,0.1614,67, ,
true,57,2.657392,0.2095,67, ,
true,56,0.0,0.1902,68, ,
true,57,2.656952,0.1508,68, ,
true,57,2.65776,0.2415,68, ,
true,49,0.0,0.1181,68, ,
true,62,0.0,0.1652,69, ,
true,64,0.0,0.1515,69, ,
true,55,0.0,0.1413,69, ,
true,50,0.0,0.1285,69, ,
true,55,2.657696,0.4089,70, ,
true,61,2.657112,0.3477,70, ,
true,61,0.0,0.1473,70, ,
true,56,0.0,0.1093,70, ,
true,60,2.657864,0.224,71, ,
true,53,0.0,0.1467,71, ,
true,58,0.0,0.1441,71, ,
true,62,0.0,0.1319,71, ,
true,59,0.0,0.1002,72, ,
true,53,2.65828,0.2357,72, ,
true,56,2.657632,0.153,72, ,
true,61,2.658008,0.1597,72, ,
true,54,0.0,0.262,73, ,
true,53,2.65832,0.1905,73, ,
true,61,2.658072,0.2691,73, ,
true,58,2.658088,0.2124,73, ,
true,60,2.658096,0.1629,74, ,
true,53,0.0,0.1546,74, ,
true,58,2.65804,0.1667,74, ,
true,59,2.6584,0.2184,74, ,
true,62,0.0,0.1944,75, ,
true,52,0.0,0.1334,75, ,
true,55,2.658256,0.1716,75, ,
true,53,2.658192,0.1951,75, ,
true,52,0.0,0.1209,76, ,
true,46,0.0,0.0978,76, ,
true,56,0.0,0.1444,76, ,
true,63,0.0,0.1632,76, ,
true,59,0.0,0.1743,77, ,
true,61,2.658776,0.246,77, ,
true,57,2.658808,0.1717,77, ,
true,55,2.721384,0.2446,77, ,
true,56,0.0,0.1217,78, ,
true,56,2.659152,0.2535,78, ,
true,59,2.658984,0.2152,78, ,
true,53,0.0,0.1391,78, ,
true,56,2.659048,0.1753,79, ,
true,56,2.659368,0.1547,79, ,
false,-1,2.659224,0.3974,79, ,
true,59,2.65544,0.1859,79, ,
true,56,2.658856,0.1991,80, ,
false,-1,2.659144,0.2848,80, ,
false,-1,2.65572,0.317,80, ,
true,56,0.0,0.1333,80, ,
true,50,2.659512,0.256,81, ,
true,57,0.0,0.1392,81, ,
true,46,2.659216,0.2097,81, ,
true,56,2.6596,0.2877,81, ,
true,54,2.660112,0.2229,82, ,
true,58,2.660472,0.2833,82, ,
true,61,0.0,0.1197,82, ,
true,49,0.0,0.1204,82, ,
true,65,2.660696,0.3145,83, ,
true,54,2.659936,0.1541,83, ,
true,51,0.0,0.1282,83, ,
true,61,2.660568,0.2518,83, ,
true,54,2.660304,0.1782,84, ,
true,53,0.0,0.139,84, ,
true,57,2.660064,0.1772,84, ,
true,59,0.0,0.1064,84, ,
true,55,0.0,0.1236,85, ,
true,56,2.66068,0.2235,85, ,
true,54,0.0,0.1291,85, ,
true,64,2.660656,0.2934,85, ,
true,52,2.660504,0.182,86, ,
true,57,0.0,0.1277,86, ,
true,51,2.660776,0.2566,86, ,
true,60,0.0,0.1555,86, ,
true,60,2.660784,0.2328,87, ,
true,64,2.661152,0.267,87, ,
true,50,2.661104,0.3426,87, ,
true,62,2.660944,0.1712,87, ,
true,54,0.0,0.1773,88, ,
true,45,0.0,0.1717,88, ,
true,48,0.0,0.1603,88, ,
true,62,2.661384,0.1911,88, ,
true,67,2.661256,0.1516,89, ,
true,63,2.660976,0.2716,89, ,
true,51,2.661184,0.1384,89, ,
true,58,0.0,0.1869,89, ,
true,47,2.661184,0.2374,90, ,
true,55,2.661776,0.2108,90, ,
true,60,2.724448,0.3364,90, ,
true,55,2.661272,0.2307,90, ,
true,57,0.0,0.2768,91, ,
true,57,2.6614,0.2284,91, ,
true,54,2.661944,0.3975,91, ,
true,53,0.0,0.1535,91, ,
true,62,2.661856,0.2844,92, ,
true,59,2.661192,0.1942,92, ,
true,62,2.6618,0.1488,92, ,
true,64,2.661392,0.2389,92, ,
true,53,2.661728,0.3192,93, ,
true,56,2.661672,0.1762,93, ,
true,59,0.0,0.2325,93, ,
true,65,2.661872,0.2712,93, ,
true,48,2.661592,0.2191,94, ,
true,41,0.0,0.1352,94, ,
true,52,2.661728,0.2395,94, ,
true,56,2.661824,0.2119,94, ,
true,60,2.661872,0.2279,95, ,
true,66,2.662248,0.1895,95, ,
true,63,2.66148,0.2744,95, ,
true,49,2.662304,0.3242,95, ,
true,57,2.662504,0.3019,96, ,
true,54,2.662224,0.1502,96, ,
true,65,2.661968,0.2667,96, ,
true,52,2.66208,0.2123,96, ,
true,62,2.662128,0.2406,97, ,
true,55,2.725456,0.2585,97, ,
false,-1,2.662696,0.1758,97, ,
true,57,2.65904,0.269,97, ,
true,59,2.662512,0.2882,98, ,
true,59,2.66288,0.2557,98, ,
true,61,2.662824,0.2579,98, ,
true,61,2.662608,0.3276,98, ,
true,52,0.0,0.1375,99, ,
true,63,2.66288,0.1512,99, ,
true,62,2.662896,0.2454,99, ,
true,66,2.662816,0.3177,99, ,
true,56,2.662936,0.3308,100, ,
true,60,0.0,0.1584,100, ,
true,52,2.663032,0.2261,100, ,
true,60,0.0,0.1442,100, ,
true,49,2.663192,0.5968,101, ,
true,57,2.662768,0.1954,101, ,
true,55,2.663456,0.2141,101, ,
true,51,0.0,0.2031,101, ,
true,57,2.663424,0.2373,102, ,
true,60,2.663256,0.4845,102, ,
true,59,2.663024,0.2121,102, ,
true,49,0.0,0.3429,102, ,
true,51,2.663312,0.2907,103, ,
true,55,2.662776,0.2272,103, ,
true,60,2.663336,0.2258,103, ,
true,53,2.663264,0.4042,103, ,


The DEFAULT parameters of the random test data: Days:5  Hours:8  Rooms:5  Sessions:12  Individuals:25 (Ignore for the specified parameter).
